Mirabilite,https://en.wikipedia.org/wiki/Mirabilite,Dickinson,Houghton,,,,,,,,,,,,,,,,,,,,,,,
Molybdenite,https://en.wikipedia.org/wiki/Molybdenite,Dickinson,Gogebic,Marquette,Ontonagon,,,,,,,,,,,,,,,,,,,,,
Monazite,https://en.wikipedia.org/wiki/Monazite,Houghton,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Montmorillonite,https://en.wikipedia.org/wiki/Montmorillonite,Baraga,Emmet,Gogebic,Houghton,Marquette,Ontonagon,Wexford,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscovite,https://en.wikipedia.org/wiki/Muscovite,Dickinson,Gogebic,Houghton,Iron,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacrite,https://en.wikipedia.org/wiki/Nacrite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Nantokite,https://en.wikipedia.org/wiki/Nantokite,Ontonagon,,,,,,,,,,,,,,,,,,,,,,,,
Natrojarosite,https://en.wikipedia.org/wiki/Natrojarosite,Iron,,,,,,,,,,,,,,,,,,,,,,,,
Natrolite,https://en.wikipedia.org/wiki/Natrolite,Houghton,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,
Neltnerite,https://en.wikipedia.org/wiki/Neltnerite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Neotocite,https://en.wikipedia.org/wiki/Neotocite,Gogebic,Iron,,,,,,,,,,,,,,,,,,,,,,,
Niccolite,https://en.wikipedia.org/wiki/Niccolite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Nontronite,https://en.wikipedia.org/wiki/Nontronite,Dickinson,Gogebic,Marquette,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligoclase,https://en.wikipedia.org/wiki/Oligoclase,Dickinson,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Olivenite,https://en.wikipedia.org/wiki/Olivenite,Houghton,,,,,,,,,,,,,,,,,,,,,,,,
Olivine,https://en.wikipedia.org/wiki/Olivine,Houghton,Iron,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Orientite,https://en.wikipedia.org/wiki/Orientite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Orthoclase,https://en.wikipedia.org/wiki/Orthoclase,Houghton,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Palygorskite,https://en.wikipedia.org/wiki/Palygorskite,Baraga,Gogebic,,,,,,,,,,,,,,,,,,,,,,,
Paragonite,https://en.wikipedia.org/wiki/Paragonite,Dickinson,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Paramelaconite,https://en.wikipedia.org/wiki/Paramelaconite,Ontonagon,,,,,,,,,,,,,,,,,,,,,,,,
Pararammelsbergite,https://en.wikipedia.org/wiki/Pararammelsbergite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Paratacamite,https://en.wikipedia.org/wiki/Paratacamite,Houghton,Ontonagon,,,,,,,,,,,,,,,,,,,,,,,
Pargasite,https://en.wikipedia.org/wiki/Pargasite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
